iter	Passed	Remaining
840	18908	3574
841	18927	3551
842	18944	3528
843	18961	3504
844	18975	3480
845	19005	3459
846	19033	3438
847	19048	3414
848	19061	3390
849	19074	3366
850	19088	3342
851	19102	3318
852	19117	3294
853	19134	3271
854	19147	3247
855	19163	3223
856	19176	3199
857	19190	3176
858	19204	3152
859	19217	3128
860	19231	3104
861	19244	3080
862	19259	3057
863	19273	3033
864	19290	3010
865	19306	2987
866	19323	2964
867	19338	2940
868	19365	2919
869	19386	2896
870	19399	2873
871	19413	2849
872	19426	2826
873	19439	2802
874	19453	2779
875	19467	2755
876	19480	2732
877	19494	2708
878	19507	2685
879	19521	2661
880	19533	2638
881	19546	2615
882	19560	2591
883	19577	2568
884	19591	2545
885	19604	2522
886	19617	2499
887	19631	2476
888	19645	2452
889	19658	2429
890	19671	2406
891	19686	2383
892	19702	2360
893	19721	2338
894	19740	2315
895	19758	2293
896	19776	2270
897	19806	2249
898	19836	2228
899	19859	2206
900	19877	2184
901	19896	2161
902	19913	2139
903	19931	2116
904	19951	2094
905	19969	2071
906	19990	2049
907	20007	2027
908	20026	2004
909	20046	1982
910	20064	1960
911	20083	1937
912	20101	1915
913	20130	1894
914	20153	1872
915	20174	1850
916	20193	1827
917	20211	1805
918	20228	1782
919	20245	1760
920	20263	1738
921	20280	1715
922	20298	1693
923	20316	1671
924	20334	1648
925	20352	1626
926	20369	1604
927	20386	1581
928	20403	1559
929	20421	1537
930	20439	1514
931	20466	1493
932	20485	1471
933	20503	1448
934	20521	1426
935	20539	1404
936	20556	1382
937	20577	1360
938	20598	1338
939	20618	1316
940	20636	1293
941	20654	1271
942	20671	1249
943	20689	1227
944	20707	1205
945	20724	1183
946	20743	1160
947	20760	1138
948	20779	1116
949	20796	1094
950	20814	1072
951	20832	1050
952	20850	1028
953	20867	1006
954	20885	984
955	20902	962
956	20922	940
957	20940	918
958	20958	896
959	20977	874
960	20997	852
961	21019	830
962	21042	808
963	21061	786
964	21080	764
965	21102	742
966	21120	720
967	21138	698
968	21156	676
969	21174	654
970	21191	632
971	21209	610
972	21227	589
973	21244	567
974	21262	545
975	21284	523
976	21302	501
977	21319	479
978	21338	457
979	21356	435
980	21375	414
981	21395	392
982	21414	370
983	21433	348
984	21453	326
985	21474	304
986	21494	283
987	21512	261
988	21530	239
989	21548	217
990	21566	195
991	21583	174
992	21600	152
993	21619	130
994	21637	108
995	21654	86
996	21672	65
997	21690	43
998	21709	21
999	21726	0
